file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0002_lidar_classes.ply,3,complex,ball_pivoting,ok,,0.007075727387790663,0.008140910839318411,0.013853652237810427,0.006448748674665492,0.013524476062456155,1,1.0,0.13330097853757997,0.8823781316154932,727,1090,0.0009174311926605505,1.8026382292708505,0.9990825688073395,0.018478454770885805,0.9818568034656731,1.0,0.9658293759721264
valve_0002_lidar_classes.ply,3,complex,poisson,ok,,0.007574260838894702,0.008782915051836917,0.014984950679502522,0.006405578803259566,0.013979839642154268,1,1.0,0.14907268126741482,0.8702669694461892,1402,2588,0.05100463678516229,4.275673304818609,0.9489953632148377,0.019935692915104886,0.9804539707222852,1.0,0.9499290758458281
valve_0002_lidar_classes.ply,4,plane,alpha_shape,ok,,0.007137822459435903,0.011372515570080274,0.02486196279651604,0.00957582974122094,0.01671365220065684,5,0.3953488372093023,1.680224531537588,0.37310306962466355,32,43,0.0,1.8793648344574458,1.0,0.06640836112140507,0.9377270813484885,0.2,0.6277075377432879
valve_0002_lidar_classes.ply,4,plane,ball_pivoting,ok,,0.0038154914298789934,0.004945935222277333,0.007442390709594662,0.016700577128608677,0.02051606855848767,1,1.0,0.3481415975438729,0.7417618459528742,44,74,0.0,1.9540221348041884,1.0,0.028881160926979635,0.9719295463618374,1.0,0.9284228480786779
valve_0002_lidar_classes.ply,4,plane,poisson,ok,,0.002974593422594136,0.005416223575887952,0.011051505281038381,0.008965990828691624,0.01194058425128576,5,0.9890923256719907,0.1640315621241522,0.8590832349727497,1406,2567,0.04791585508375536,5.7058852102566755,0.9520841449162446,0.0316273500726714,0.969342272604111,0.2,0.7451274131232763
valve_0002_lidar_classes.ply,5,complex,alpha_shape,ok,,0.0044814983449606195,0.005176611181140756,0.008392282214806611,0.010989016036151801,0.01547051438111242,1,1.0,0.7555662851223932,0.5696167717929732,84,170,0.0,1.8868812633718046,1.0,0.022652934646249505,0.9778488538204945,1.0,0.8868664064033669
valve_0002_lidar_classes.ply,5,complex,ball_pivoting,ok,,0.004416420635784993,0.005956851661083848,0.0138199236390345,0.012005057780096305,0.016421478415881298,1,1.0,0.5755812042191973,0.6346864238556114,90,123,0.0,1.7677156604721267,1.0,0.026067279665033447,0.9745949606018591,1.0,0.9023203461143676
valve_0002_lidar_classes.ply,5,complex,poisson,ok,,0.004796460611059782,0.00608917774469211,0.013947279481300031,0.011844306067618994,0.016640766678678778,29,0.9285285285285285,0.27627397290920813,0.7835308258465428,1810,3330,0.05795795795795796,6.505255733952661,0.942042042042042,0.026646340757141885,0.9740452581387565,0.034482758620689655,0.6835252211620078
valve_0002_lidar_classes.ply,6,tubular,alpha_shape,ok,,0.0071424827305918755,0.008139195994662554,0.014127863045869592,0.007786954018647627,0.014929436749239503,3,0.996078431372549,0.40055419565624106,0.7140030732844592,632,1275,0.00784313725490196,2.2152887224035407,0.9921568627450981,0.011992162365175075,0.9881499454134629,0.3333333333333333,0.7569108036940884
valve_0002_lidar_classes.ply,6,tubular,ball_pivoting,ok,,0.008385936379655082,0.01062844422167451,0.02376768555762285,0.007297014135875241,0.01568295051553032,17,0.9732142857142857,0.18042055459334463,0.8471556989656965,640,896,0.0033482142857142855,1.9437177702588595,0.9966517857142857,0.015659781246097376,0.9845816664839434,0.058823529411764705,0.7218031701439226
valve_0002_lidar_classes.ply,6,tubular,poisson,ok,,0.009614230737031926,0.011380082820259171,0.024024994794166237,0.009822089349308555,0.019436320086340483,12,0.9790960451977401,0.24959010349213967,0.8002624198170039,1881,3540,0.06299435028248587,5.137503037438253,0.9370056497175141,0.01676723364312417,0.9835092702751186,0.08333333333333333,0.7010276682857424
valve_0002_lidar_classes.ply,7,complex,alpha_shape,ok,,0.0064938580572802785,0.007313187198833658,0.01299091329131251,0.00963542915430589,0.016129287211586168,1,1.0,0.22568432327172633,0.8158707597162491,437,874,0.002288329519450801,2.0284813192341717,0.9977116704805492,0.014502893669547942,0.9857044334126148,1.0,0.9498217159023532
